id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
190,Paulus Gerdes,1952-11-11,2014-10-11,Homme,,,,,,,,file_uploads/ulf_685_Gerdes.jpg,,,,https://de.wikipedia.org/wiki/Paulus_Gerdes,Q54158474
193,Ludovico Geymonat,1908-11-05,1991-11-29,Homme,1974-02-18,,,,,,,,Médaille Koyré,9568,,https://fr.wikipedia.org/wiki/Ludovico_Geymonat,Q1225692
195,Bertrand Gille,1920-03-29,1980-11-30,Homme,1971-11-01,,,,,,,,,,,https://fr.wikipedia.org/wiki/Bertrand_Gille_(historien),Q2899549
196,Owen Gingerich,1930-03-24,2023-05-28,Homme,1984-09-11,,,,,,,,,,,https://fr.wikipedia.org/wiki/Owen_Gingerich,Q1202177
197,Jekuthiel Ginsburg,1889-08-15,1957-07-10,Homme,,,,,,,,,,,,,Q6176590
198,Mario Gliozzi,1899-03-24,1977-09-06,Homme,1948-01-04,,,,,,,file_uploads/ulf_596_Mario_Gliozzi.jpg,,,,https://it.wikipedia.org/wiki/Mario_Gliozzi,Q16576387
199,Walther Artelt,1906-07-23,1976-01-26,Homme,1960-02-15,,,,,,,,,,,https://de.wikipedia.org/wiki/Walter_Artelt,Q2543486
200,Edgar Goldschmid,1881-12-14,1957-05-26,Homme,,,,,,,,,,,,https://en.wikipedia.org/wiki/Edgar_Goldschmid,Q1283893
203,Ignacio Gonzalez Tascon,1947-01-01,2006-06-17,Homme,,,,,,,,,,,,,Q28134774
204,Danielle Gourevitch,1941-01-21,2021-06-13,Femme,1999-05-05,,,,,,,,,,,https://fr.wikipedia.org/wiki/Danielle_Gourevitch,Q1163864
205,Edward Grant,1926-06-04,2020-06-21,Homme,1969-01-12,,,,,,,,Médaille Sarton,10084,,https://fr.wikipedia.org/wiki/Edward_Grant,Q1292395
206,Ivor Grattan-Guinness,1941-06-23,2014-12-12,Homme,1991-01-30,,,,,,,file_uploads/ulf_675_Grattan-Guinness.jpg,,,,https://fr.wikipedia.org/wiki/Ivor_Grattan-Guinness,Q1252931
207,Frank Greenaway,1917-09-07,2013-06-16,Homme,,,,,,,,,,,,,Q5486942
208,John Greene,1917-05-03,2008-12-11,Homme,,,,,,,,,Médaille Sarton,10084,,https://en.wikipedia.org/wiki/John_Colton_Greene,Q15446688
209,Joshua Gregory,1875-02-25,1974-07-28,Homme,,,,,,,,,,,,,
210,Miguel Artigas,1887-09-29,1947-10-03,Homme,,,,,,,,file_uploads/ulf_559_Artigas_Miguel.jpg,,,,https://es.wikipedia.org/wiki/Miguel_Artigas,Q6013927
212,Jules Guiart,1870-04-07,1965-02-19,Homme,,,,,,,,file_uploads/ulf_503_Jules_Guiart.jpg,,,,https://fr.wikipedia.org/wiki/Jules_Guiart,Q18744761
213,Julio Guillén,1897-05-08,1972-11-27,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Julio_Guill%C3%A9n_Tato%2C_1923.jpg,,,,https://es.wikipedia.org/wiki/Julio_Guill%C3%A9n_Tato,Q21192854
214,Léon Guinet,1881-01-01,1946-01-01,Homme,,,,,,,,,,,,,Q65964585
215,Robert Theodore Gunther,1869-08-23,1940-09-03,Homme,,,,,,,,file_uploads/ulf_504_Gunther.jpg,,,,,Q2157406
216,Emile Guyenot,1885-09-06,1963-03-20,Homme,,,,,,,,,,,,,Q3588552
217,Tibor Gy?ry,1869-01-05,1938-09-01,Homme,,,,,,,,file_uploads/ulf_505_Képes.jpg,Médaille Shdhoff,10114,,https://hu.wikipedia.org/wiki/Gy%C5%91ry_Tibor,Q20480260
218,Robert Haardt,1862-03-03,1939-01-01,Homme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Robert_Haardt,Q2157433
219,Arthur Haas,1884-04-30,1941-02-20,Homme,,,,,,,,,,,,,Q89495
221,Ivan Artobolevskij,1905-09-26,1977-09-21,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/14/Ivan_Ivanovich_Artobolevskiy.jpg,,,,https://fr.wikipedia.org/wiki/Ivan_Artobolevski,Q4070317
222,Assên Hadjioloff,1903-01-19,1994-07-02,Homme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Assen_Chadshiolow,Q20500278
223,István Hajnal,1892-03-07,1956-06-16,Homme,,,,,,,,file_uploads/ulf_511_Hajnal_István.jpg,,,,https://en.wikipedia.org/wiki/Istv%C3%A1n_Hajnal,Q1032721
225,Günther Hamann,1924-12-10,1994-10-13,Homme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Marie_Boas_Hall,Q1561499
