id,name,lat,lng,nation,naissance,mort,c_date,e,e_date,genre,ocupation,link,WP
244,Miguel Asin Palacios,41.6521342,48.7775,Espagne,1871-05-07,1944-12-08,1929-05-21,30,1931-02-15,Homme,philologue,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.ecured.cu%2Fimages%2F4%2F4d%2FMiguel_As%25C3%25ADn_Palacios_1.jpg&f=1&nofb=1&ipt=a38c5faccce996c30578fa403f9142b7e709ef88749cc941d61a5bd828fbe1ed,https://fr.wikipedia.org/wiki/Miguel_As%C3%ADn_Palacios
247,Joseph Hofmann,51.1638175,48.7775,Allemagne,1900-07-03,1973-07-05,1960-02-15,136,1963-06-26,Homme,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Farchxde.com%2Fwp-content%2Fuploads%2F2023%2F04%2FHoffmann-Josef.jpg&f=1&nofb=1&ipt=f80c497d24173701bfaeaed751c7ff3d39fdaaf22fb713d0fa8701f7a5298e81,https://en.wikipedia.org/wiki/Joseph_Ehrenfried_Hofmann
254,Michael Hoskin,51.5074456,48.7775,Royaume-Uni,1930-02-27,2021-05-12,1965-06-26,197,1974-02-18,Homme,de la physique,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Michael_Hoskin%2C_busto_en_Antequera.jpg/960px-Michael_Hoskin%2C_busto_en_Antequera.jpg,https://fr.wikipedia.org/wiki/Michael_Hoskin
255,Gaston Bachelard,46.603354,1.8883335,France,1884-06-27,1962-10-16,1947-03-06,60,1948-01-04,Homme,philosophe des sciences,https://www.babelio.com/users/AVT_Gaston-Bachelard_9467.jpg,https://fr.wikipedia.org/wiki/Gaston_Bachelard
258,Pierre Huard,46.603354,1.8883335,France,1901-10-16,1983-04-28,1958-08-21,109,1960-02-15,Homme,de la medecine,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fasap.univ-lille.fr%2Ffileadmin%2F_processed_%2F4%2F3%2Fcsm_Huard_172894b083.jpg&f=1&nofb=1&ipt=5675e534964c05305abf1f5899772dc13abd56d2e64b27580a9b3ca73869c0c0,https://fr.wikipedia.org/wiki/Pierre_Huard
266,Suzanne Bachelard,46.603354,1.8883335,France,1919-10-18,2007-03-11,1966-10-15,203,1976-05-04,Femme,philosophe des sciences,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.omecaphes.ens.fr%2Ffiles%2Fsquare%2F5eccd93d730308e61bd14acabe9ac1eb1b5f2ca3.jpg&f=1&nofb=1&ipt=4be6435cdeeb04bd6652225bf1c211c150d52dd93c3fb7535e1257947599c716,https://fr.wikipedia.org/wiki/Suzanne_Bachelard
268,Ekmeleddin Ihsanoglu,38.9597594,34.9249653,Turquie,1943-12-26,,1995-02-02,290,1999-05-05,Homme,homme d'etat,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.ihsanoglu.org%2Fimages%2FContentImage%2FHomeContentImage.png&f=1&nofb=1&ipt=b5686a046b63f6b751ca08682e5e96ccb44970444a551893d4804da2b97e1a3d,https://fr.wikipedia.org/wiki/Ekmeleddin_%C4%B0hsano%C4%9Flu
272,Jean Itard,46.603354,1.8883335,France,1902-06-16,1979-05-08,1951-10-03,161,1967-12-24,Homme,des mathematiques,,https://fr.wikipedia.org/wiki/Jean_Itard_(historien)
277,Stefan Balan,44.43225,26.10626,Roumanie,1913-01-01,1991-03-26,1978-06-21,218,1981-03-20,Homme,de la technique,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fjurnalfm.ro%2Fwp-content%2Fuploads%2F2025%2F01%2F291px-Stefan_Balan.01.jpg&f=1&nofb=1&ipt=0a554892246d7a8ded0511e27831fbc2904664ca9c574ef1f24ff1e001a31c92,https://ro.wikipedia.org/wiki/%C8%98tefan_B%C4%83lan
284,Karine Chemla,46.603354,1.8883335,France,1957-08-02,1997-05-28,,324,2005-12-28,Femme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Falchetron.com%2Fcdn%2Fkarine-chemla-4a453f07-ba2c-4cdc-95aa-c0106b759b0-resize-750.jpeg&f=1&nofb=1&ipt=39bdf105403b676de0153fc116cc7d8375d7697dbc206eb3bea5ccc95dac900d,https://fr.wikipedia.org/wiki/Karine_Chemla
